Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season
Lynn Williams,WNY,19,19,1671,11,5,72,35,16,18,0,0,0,0,0,2016
Kealia Ohai,HOU,20,18,1626,11,3,43,29,12,30,6,0,0,0,0,2016
Jessica McDonald,WNY,19,19,1665,10,7,50,29,12,14,0,0,0,0,0,2016
Nadia Nadim,POR,20,20,1649,9,3,32,15,36,20,13,4,4,4,0,2016
Shea Groom,KC,19,19,1660,8,0,50,25,28,18,0,1,0,1,1,2016
Christen Press,CHI,14,14,1260,8,0,56,32,16,15,0,1,1,0,0,2016
Manon Melis,SEA,16,15,1051,7,1,29,21,7,5,0,0,0,0,0,2016
Sofia Huerta,CHI,20,20,1742,7,2,39,16,21,13,1,0,0,2,0,2016
Kim Little,SEA,20,20,1795,6,2,27,16,17,5,13,3,3,0,0,2016
Christine Sinclair,POR,11,10,826,6,2,17,12,6,7,0,0,0,0,0,2016
Allie Long,POR,15,15,1350,6,2,25,13,20,2,3,0,0,0,0,2016
Kristen Edmonds,ORL,19,19,1701,6,2,23,13,13,1,41,0,0,1,0,2016
Carli Lloyd,HOU,7,7,553,5,3,26,12,4,7,3,1,1,0,0,2016
Lianne Sanderson,WNY,17,11,1120,5,1,20,13,10,3,19,0,0,0,0,2016
Samantha Mewis,WNY,14,14,1260,5,2,37,14,19,1,4,2,1,1,0,2016
Dagný Brynjarsdóttir,POR,17,12,1072,5,0,11,8,27,3,1,0,0,1,0,2016
Lindsey Horan,POR,15,15,1304,5,0,25,16,23,6,3,0,0,4,0,2016
Estefanía Banini,WAS,13,9,887,5,1,16,10,4,0,0,0,0,0,0,2016
Sam Kerr,NJ,9,6,616,5,0,20,12,5,6,1,0,0,0,0,2016
Alex Morgan,ORL,15,15,1350,4,1,37,18,11,11,1,0,0,1,0,2016
Jasmyne Spencer,ORL,20,17,1564,4,0,29,19,14,8,0,0,0,3,0,2016
Katie Stengel,WAS,19,10,929,4,1,17,8,2,9,1,0,0,0,0,2016
Diana Matheson,WAS,12,9,799,4,0,10,8,4,3,22,1,1,1,0,2016
Rachel Daly,HOU,16,12,1186,4,3,29,14,23,25,1,0,0,2,0,2016
Joanna Lohman,WAS,20,17,1538,4,1,25,15,29,0,1,0,0,1,0,2016
Natasha Kai,NJ,20,17,1401,4,1,33,18,17,27,0,0,0,3,0,2016
Nahomi Kawasumi,SEA,10,8,750,3,2,11,8,0,10,14,0,0,0,0,2016
Natasha Dowie,BOS,7,7,605,3,0,19,10,12,11,0,0,0,1,0,2016
Christine Nairn,WAS,20,18,1618,3,3,29,11,8,1,87,2,1,1,0,2016
Cheyna Matthews,WAS,17,8,780,3,0,16,9,10,9,0,0,0,1,0,2016
Janine Beckie,HOU,14,11,917,3,2,16,7,6,6,0,0,0,0,0,2016
Sarah Killion,NJ,18,18,1606,3,1,10,7,15,1,22,4,3,0,0,2016
Makenzy Doniak,WNY,20,15,1141,3,4,14,10,8,5,4,0,0,1,0,2016
Yael Averbuch,KC,20,20,1788,3,0,17,9,18,0,4,1,1,1,0,2016
Maya Hayes,NJ,16,8,749,3,0,10,6,6,6,1,0,0,0,0,2016
Leah Galton,NJ,14,10,1022,3,4,16,9,10,11,11,0,0,1,0,2016
Beverly Yanez,SEA,20,18,1543,3,3,22,14,10,11,1,0,0,0,0,2016
Stephanie McCaffrey,CHI,18,15,1276,2,0,19,10,12,14,3,0,0,0,0,2016
Abby Dahlkemper,WNY,20,20,1800,2,1,10,5,15,1,58,2,2,2,0,2016
Taylor Smith,WNY,18,5,725,2,0,11,4,11,0,2,0,0,1,0,2016
Julie King,BOS,18,17,1524,2,1,9,5,19,2,1,0,0,5,0,2016
Crystal Dunn,WAS,13,12,1140,2,5,30,11,14,12,1,0,0,0,0,2016
Tiffany McCarty,KC,16,10,916,2,4,14,4,18,13,0,0,0,0,0,2016
Francisca Ordega,WAS,13,7,630,2,1,9,6,15,8,0,0,0,1,0,2016
Abby Erceg,WNY,17,16,1474,2,1,11,3,26,1,0,0,0,0,1,2016
Frances Silva,KC,19,10,990,2,0,13,4,16,3,1,0,0,1,0,2016
Casey Short,CHI,20,20,1781,2,0,14,7,12,1,0,0,0,0,0,2016
Jennifer Hoy,CHI,15,9,673,2,0,5,3,7,11,0,0,0,1,0,2016
Denise O'Sullivan,HOU,18,14,1313,2,5,18,6,13,1,2,0,0,1,0,2016
Sarah Hagen,ORL,17,8,588,2,2,9,8,4,1,0,0,0,0,0,2016
Angela Salem,BOS,19,19,1700,1,0,12,6,8,0,2,0,0,1,0,2016
Jessica Fishlock,SEA,16,16,1390,1,4,23,10,16,1,0,0,0,4,0,2016
Taylor Comeau,CHI,16,6,667,1,1,4,2,9,0,0,0,0,0,0,2016
Kristie Mewis,BOS,14,13,1122,1,1,21,7,13,2,23,1,0,0,0,2016
